,id,pid,ms_subclass,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,saleprice,paved_drive_Y,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,heating_GasW,heating_Grav,heating_OthW,heating_Wall,electrical_FuseF,electrical_FuseP,electrical_Mix,electrical_SBrkr,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD ,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,bsmt_exposure_2.0,bsmt_exposure_3.0,bsmt_exposure_4.0,bsmtfin_type_1_BLQ,bsmtfin_type_1_GLQ,bsmtfin_type_1_LwQ,bsmtfin_type_1_Rec,bsmtfin_type_1_Unf,total_sq_ft
0,109,533352170,60,0.0,13517,Pave,2,Lvl,3,CulDSac,2,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,Plywood,BrkFace,289.0,3,2,3.0,3.0,533.0,Unf,0.0,192.0,725.0,4,Y,725,754,0,1479,0.0,0.0,2,1,3,1,3,6,7,0,0.0,Attchd,1976.0,RFn,2.0,475.0,3.0,3.0,0,44,0,0,0,0,0,3,2010,130500,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2973.0
1,544,531379050,60,43.0,11492,Pave,2,Lvl,3,CulDSac,2,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,BrkFace,132.0,3,2,4.0,3.0,637.0,Unf,0.0,276.0,913.0,4,Y,913,1209,0,2122,1.0,0.0,2,1,4,1,3,8,7,1,3.0,Attchd,1997.0,RFn,2.0,559.0,3.0,3.0,0,74,0,0,0,0,0,4,2009,220000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4022.0
2,153,535304180,20,68.0,7922,Pave,3,Lvl,3,Inside,2,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,0.0,2,3,3.0,3.0,731.0,Unf,0.0,326.0,1057.0,2,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Detchd,1953.0,Unf,1.0,246.0,3.0,3.0,0,52,0,0,0,0,0,1,2010,109000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3223.0
3,318,916386060,60,73.0,9802,Pave,3,Lvl,3,Inside,2,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,None,0.0,2,2,4.0,3.0,0.0,Unf,0.0,384.0,384.0,3,Y,744,700,0,1444,0.0,0.0,2,1,3,1,2,7,7,0,0.0,BuiltIn,2007.0,Fin,2.0,400.0,3.0,3.0,100,0,0,0,0,0,0,4,2010,174000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2312.0
4,255,906425045,50,82.0,14235,Pave,2,Lvl,3,Inside,2,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Plywood,None,0.0,2,2,2.0,4.0,0.0,Unf,0.0,676.0,676.0,2,Y,831,614,0,1445,0.0,0.0,2,0,3,1,2,6,7,0,0.0,Detchd,1957.0,Unf,2.0,484.0,3.0,3.0,0,59,0,0,0,0,0,3,2010,138500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2856.0
5,138,535126040,20,137.0,16492,Pave,2,Lvl,3,Corner,2,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,Plywood,None,0.0,3,2,3.0,3.0,247.0,Rec,713.0,557.0,1517.0,4,Y,1888,0,0,1888,0.0,0.0,2,1,2,1,3,6,4,1,4.0,Attchd,1966.0,Fin,2.0,578.0,3.0,3.0,0,0,0,0,0,0,0,6,2010,190000,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4922.0
6,2827,908186070,180,35.0,3675,Pave,3,Lvl,3,Inside,2,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,82.0,2,2,4.0,3.0,547.0,Unf,0.0,0.0,547.0,3,Y,1072,0,0,1072,1.0,0.0,2,0,2,1,2,5,7,0,0.0,Basment,2005.0,Fin,2.0,525.0,3.0,3.0,0,44,0,0,0,0,0,6,2006,140000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2210.0
7,145,535154050,20,0.0,12160,Pave,2,Lvl,3,Inside,2,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,BrkFace,180.0,2,2,3.0,3.0,1000.0,Unf,0.0,188.0,1188.0,1,Y,1188,0,0,1188,1.0,0.0,1,0,3,1,2,6,7,0,0.0,Attchd,1959.0,RFn,2.0,531.0,3.0,3.0,0,0,0,0,0,0,0,5,2010,142000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3564.0
8,1942,535353130,20,0.0,15783,Pave,3,Lvl,3,Inside,2,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,None,0.0,2,2,3.0,3.0,292.0,Unf,0.0,632.0,924.0,2,Y,924,0,0,924,0.0,0.0,1,0,2,1,2,6,7,0,0.0,Detchd,1952.0,Unf,1.0,420.0,3.0,3.0,0,324,0,0,0,0,400,6,2007,112500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3096.0
9,1956,535426130,60,70.0,11606,Pave,2,HLS,3,Inside,0,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,BrkFace,192.0,2,2,4.0,3.0,650.0,Unf,0.0,390.0,1040.0,2,Y,1040,1040,0,2080,0.0,1.0,1,2,5,1,1,9,7,2,3.0,Attchd,1969.0,Unf,2.0,504.0,3.0,3.0,335,0,0,0,0,0,0,9,2007,135000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4495.0
